Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-17,"2,686.10","2,687.66","2,682.69",2687.54,"2,687.54","2,174,890,000"
27-Dec-17,"2,682.10","2,685.64","2,678.91",2682.62,"2,682.62","2,202,900,000"
26-Dec-17,"2,679.09","2,682.74","2,677.96",2680.50,"2,680.50","1,970,660,000"
22-Dec-17,"2,684.22","2,685.35","2,678.13",2683.34,"2,683.34","2,401,030,000"
21-Dec-17,"2,683.02","2,692.64","2,682.40",2684.57,"2,684.57","3,293,130,000"
20-Dec-17,"2,688.18","2,691.01","2,676.11",2679.25,"2,679.25","3,246,230,000"
19-Dec-17,"2,692.71","2,694.44","2,680.74",2681.47,"2,681.47","3,407,680,000"
18-Dec-17,"2,685.92","2,694.97","2,685.92",2690.16,"2,690.16","3,727,770,000"
15-Dec-17,"2,660.63","2,679.63","2,659.14",2675.81,"2,675.81","5,736,910,000"
14-Dec-17,"2,665.87","2,668.09","2,652.01",2652.01,"2,652.01","3,442,760,000"
13-Dec-17,"2,667.59","2,671.88","2,662.85",2662.85,"2,662.85","3,568,360,000"
12-Dec-17,"2,661.73","2,669.72","2,659.78",2664.11,"2,664.11","3,568,910,000"
11-Dec-17,"2,652.19","2,660.33","2,651.47",2659.99,"2,659.99","3,141,480,000"
8-Dec-17,"2,646.21","2,651.65","2,644.10",2651.50,"2,651.50","3,126,750,000"
7-Dec-17,"2,628.38","2,640.99","2,626.53",2636.98,"2,636.98","3,297,060,000"
6-Dec-17,"2,626.24","2,634.41","2,624.75",2629.27,"2,629.27","3,253,080,000"
5-Dec-17,"2,639.78","2,648.72","2,627.73",2629.57,"2,629.57","3,547,570,000"
4-Dec-17,"2,657.19","2,665.19","2,639.03",2639.44,"2,639.44","4,025,840,000"
1-Dec-17,"2,645.10","2,650.62","2,605.52",2642.22,"2,642.22","3,950,930,000"
30-Nov-17,"2,633.93","2,657.74","2,633.93",2647.58,"2,647.58","4,965,700,000"
29-Nov-17,"2,627.82","2,634.89","2,620.32",2626.07,"2,626.07","4,090,630,000"
28-Nov-17,"2,605.94","2,627.69","2,605.44",2627.04,"2,627.04","3,493,340,000"
27-Nov-17,"2,602.66","2,606.41","2,598.87",2601.42,"2,601.42","3,017,720,000"
24-Nov-17,"2,600.42","2,604.21","2,600.42",2602.42,"2,602.42","1,385,890,000"
22-Nov-17,"2,600.31","2,600.94","2,595.23",2597.08,"2,597.08","2,764,110,000"
21-Nov-17,"2,589.17","2,601.19","2,589.17",2599.03,"2,599.03","3,351,230,000"
20-Nov-17,"2,579.49","2,584.64","2,578.24",2582.14,"2,582.14","3,023,940,000"
17-Nov-17,"2,582.94","2,583.96","2,577.62",2578.85,"2,578.85","3,309,800,000"
16-Nov-17,"2,572.95","2,590.09","2,572.95",2585.64,"2,585.64","3,329,730,000"
15-Nov-17,"2,569.45","2,572.84","2,557.45",2564.62,"2,564.62","3,586,590,000"
14-Nov-17,"2,577.75","2,579.66","2,566.56",2578.87,"2,578.87","3,643,580,000"
13-Nov-17,"2,576.53","2,587.66","2,574.48",2584.84,"2,584.84","3,405,200,000"
10-Nov-17,"2,580.18","2,583.81","2,575.57",2582.30,"2,582.30","3,489,740,000"
9-Nov-17,"2,584.00","2,586.50","2,566.33",2584.62,"2,584.62","3,844,100,000"
8-Nov-17,"2,588.71","2,595.47","2,585.02",2594.38,"2,594.38","3,898,450,000"
7-Nov-17,"2,592.11","2,597.02","2,584.35",2590.64,"2,590.64","3,815,190,000"
6-Nov-17,"2,587.47","2,593.38","2,585.66",2591.13,"2,591.13","3,541,970,000"
3-Nov-17,"2,581.93","2,588.42","2,576.77",2587.84,"2,587.84","3,568,710,000"
2-Nov-17,"2,579.46","2,581.11","2,566.17",2579.85,"2,579.85","4,050,140,000"
1-Nov-17,"2,583.21","2,588.40","2,574.92",2579.36,"2,579.36","3,841,200,000"
31-Oct-17,"2,575.99","2,578.29","2,572.15",2575.26,"2,575.26","3,844,420,000"
30-Oct-17,"2,577.75","2,580.03","2,568.25",2572.83,"2,572.83","3,660,230,000"
27-Oct-17,"2,570.26","2,582.98","2,565.94",2581.07,"2,581.07","3,896,100,000"
26-Oct-17,"2,560.08","2,567.07","2,559.80",2560.40,"2,560.40","3,891,750,000"
25-Oct-17,"2,566.52","2,567.40","2,544.00",2557.15,"2,557.15","3,885,470,000"
24-Oct-17,"2,568.66","2,572.18","2,565.58",2569.13,"2,569.13","3,435,660,000"
23-Oct-17,"2,578.08","2,578.29","2,564.33",2564.98,"2,564.98","3,214,470,000"
20-Oct-17,"2,567.56","2,575.44","2,567.56",2575.21,"2,575.21","3,394,450,000"
19-Oct-17,"2,553.39","2,562.36","2,547.92",2562.10,"2,562.10","3,019,520,000"
18-Oct-17,"2,562.87","2,564.11","2,559.67",2561.26,"2,561.26","2,999,320,000"
17-Oct-17,"2,557.17","2,559.71","2,554.69",2559.36,"2,559.36","2,901,890,000"
16-Oct-17,"2,555.57","2,559.47","2,552.64",2557.64,"2,557.64","2,918,030,000"
13-Oct-17,"2,555.66","2,557.65","2,552.09",2553.17,"2,553.17","3,150,470,000"
12-Oct-17,"2,552.88","2,555.33","2,548.31",2550.93,"2,550.93","3,157,280,000"
11-Oct-17,"2,550.62","2,555.24","2,547.95",2555.24,"2,555.24","2,991,320,000"
10-Oct-17,"2,549.99","2,555.23","2,544.86",2550.64,"2,550.64","2,962,610,000"
9-Oct-17,"2,551.39","2,551.82","2,541.60",2544.73,"2,544.73","2,486,940,000"
6-Oct-17,"2,547.44","2,549.41","2,543.79",2549.33,"2,549.33","2,898,270,000"
5-Oct-17,"2,540.86","2,552.51","2,540.02",2552.07,"2,552.07","3,059,730,000"
4-Oct-17,"2,533.48","2,540.53","2,531.80",2537.74,"2,537.74","3,020,770,000"
3-Oct-17,"2,530.34","2,535.13","2,528.85",2534.58,"2,534.58","3,073,480,000"
2-Oct-17,"2,521.20","2,529.23","2,520.40",2529.12,"2,529.12","3,226,370,000"
29-Sep-17,"2,509.96","2,519.44","2,507.99",2519.36,"2,519.36","3,220,260,000"
28-Sep-17,"2,503.41","2,510.81","2,502.93",2510.06,"2,510.06","3,173,030,000"
27-Sep-17,"2,503.30","2,511.75","2,495.91",2507.04,"2,507.04","3,485,070,000"
26-Sep-17,"2,501.04","2,503.51","2,495.12",2496.84,"2,496.84","3,070,770,000"
25-Sep-17,"2,499.39","2,502.54","2,488.03",2496.66,"2,496.66","3,314,530,000"
22-Sep-17,"2,497.26","2,503.47","2,496.54",2502.22,"2,502.22","2,877,980,000"
21-Sep-17,"2,507.16","2,507.16","2,499.00",2500.60,"2,500.60","2,965,590,000"
20-Sep-17,"2,506.84","2,508.85","2,496.67",2508.24,"2,508.24","3,584,570,000"
19-Sep-17,"2,506.29","2,507.84","2,503.19",2506.65,"2,506.65","3,253,760,000"
18-Sep-17,"2,502.51","2,508.32","2,499.92",2503.87,"2,503.87","3,204,700,000"
15-Sep-17,"2,495.67","2,500.23","2,493.16",2500.23,"2,500.23","4,862,970,000"
14-Sep-17,"2,494.56","2,498.43","2,491.35",2495.62,"2,495.62","3,422,470,000"
13-Sep-17,"2,493.89","2,498.37","2,492.14",2498.37,"2,498.37","3,371,370,000"
12-Sep-17,"2,491.94","2,496.77","2,490.37",2496.48,"2,496.48","3,234,280,000"
