Start,End,Open,High,Low,Close,Volume,Market Cap
2019-12-31,2020-01-01,7245.200684558,7300.392728006,7155.958221183,7202.624250734,19231685730.931286,130635621311.14777
2019-12-30,2019-12-31,7388.393119126,7397.633412698,7234.181930629,7245.988922674,20205730608.95137,132319295030.02571
2019-12-29,2019-12-30,7312.006786468,7487.899094121,7257.396558144,7386.37606034,18316582002.147324,132889260155.54071
2019-12-28,2019-12-29,7248.512129224,7347.520016294,7242.853379997,7312.04457,19186434309.4728,132122167343.91693
2019-12-27,2019-12-28,7209.301104194,7260.341054293,7111.398497164,7246.422424633,20987495731.49436,130391767632.67065
2019-12-26,2019-12-27,7206.513103227,7407.99090794,7170.48225104,7211.341193713,17261944405.213764,130802546117.08333
2019-12-25,2019-12-26,7259.115863808,7263.235588139,7146.05977284,7205.3806879,18541417893.721123,130606690709.13899
2019-12-24,2019-12-25,7327.790252207,7408.118470216,7180.371932831,7240.62033283,21901304372.389088,132100720581.49564
2019-12-23,2019-12-24,7492.45029805,7664.109374944,7292.652163381,7329.609333692,23553693248.251907,135673099050.1677
2019-12-22,2019-12-23,7140.32026181,7482.961455839,7130.735076477,7482.961455839,15859553796.773232,130626273875.8252
2019-12-21,2019-12-22,7189.186325796,7189.186325796,7130.787125626,7138.888883851,17216556747.583508,129336453236.62318
2019-12-20,2019-12-21,7149.884817113,7210.140664428,7098.240014077,7185.155243857,19090224845.26383,129412607079.28703
2019-12-19,2019-12-20,7270.845254352,7335.823832419,7059.449130278,7150.376098438,27989461214.81813,129290264197.96317
2019-12-18,2019-12-19,6621.871889791,7310.394958242,6455.524825756,7275.754883601,23544326241.797443,122466220929.89435
2019-12-17,2019-12-18,6898.577590882,6925.012567441,6589.119305464,6624.129257675,17871010703.791706,123005828883.66982
2019-12-16,2019-12-17,7118.479133455,7138.605286064,6859.198078031,6902.888387618,14930223069.116924,127437036253.57481
2019-12-15,2019-12-16,7072.383784552,7155.337433254,7026.94612641,7120.922417547,14644394191.144522,128334682120.02686
2019-12-14,2019-12-15,7257.669869466,7268.679039935,7035.598502098,7078.955218817,14111391071.938242,129695505705.06288
2019-12-13,2019-12-14,7197.05304267,7289.915897816,7195.239547235,7255.126876879,14598717509.365639,130833591312.26468
2019-12-12,2019-12-13,7204.510776332,7251.319702812,7122.427523192,7202.46079296,16462585927.788164,129835093792.76695
2019-12-11,2019-12-12,7227.631556618,7265.968523262,7161.674785097,7199.716155364,16414726727.45908,130503782867.68335
2019-12-10,2019-12-11,7348.37390815,7388.386963149,7191.154971056,7233.814525048,18266169084.28163,132119967777.53204
2019-12-09,2019-12-10,7511.276362839,7580.073106413,7315.434945215,7350.418118369,15758507373.4147,134906963787.74303
2019-12-08,2019-12-09,7495.498070338,7544.078599557,7395.935569224,7516.676668173,14839255939.762865,135363276601.94305
2019-12-07,2019-12-08,7529.891567765,7571.745151994,7488.40296516,7496.125957769,17516422533.457024,136066629888.60715
2019-12-06,2019-12-07,7388.417903908,7532.61098739,7328.711289483,7532.61098739,18201556007.12047,133823034544.67682
2019-12-05,2019-12-06,7200.139780061,7456.145388748,7188.051035936,7386.51006291,21771942872.71732,132493558622.8058
2019-12-04,2019-12-05,7297.072604076,7551.495024374,7118.390081796,7216.45616286,17283223591.60506,131561545030.69946
2019-12-03,2019-12-04,7307.988591896,7384.127710998,7267.859219306,7300.20831055,14980928828.27558,132345425156.11398
2019-12-02,2019-12-03,7405.658938092,7419.104007525,7209.443281888,7315.108656927,17497508154.749622,132230802956.25
2019-12-01,2019-12-02,7551.709861219,7551.709861219,7276.632368504,7417.184161887,19448581691.419365,133056595876.39296
2019-11-30,2019-12-01,7743.650338185,7776.99217094,7481.732584017,7548.613483041,18558072916.98575,138308250481.773
2019-11-29,2019-11-30,7434.173194419,7797.008350772,7431.608268829,7740.415549447,19637751265.72024,137457353874.40472
2019-11-28,2019-11-29,7514.018760727,7616.178610862,7405.172244296,7442.795357732,23196231678.85349,135794345148.03586
2019-11-27,2019-11-28,7161.296598099,7628.132237788,6885.235981707,7502.033156435,21528088248.629696,130983843289.50122
2019-11-26,2019-11-27,7126.953913947,7312.507515879,7058.832881688,7169.264737836,25274129965.206455,129101219688.3209
2019-11-25,2019-11-26,6931.499193615,7345.912930272,6583.225112442,7133.946457871,28072860618.34446,125898643705.48834
2019-11-24,2019-11-25,7310.162692926,7325.983704047,6932.313157281,6932.313157281,19688077432.647324,129213195685.80475
2019-11-23,2019-11-24,7278.817250728,7332.279034818,7108.065158989,7316.797514649,28070277489.588398,130709921812.54994
2019-11-22,2019-11-23,7632.873769926,7688.688081972,6915.817983561,7290.351827984,28409580486.224964,132784410256.64928
2019-11-21,2019-11-22,8101.952120246,8126.008723481,7574.878247567,7631.016803397,19580512635.16447,142188695965.80127
2019-11-20,2019-11-21,8138.290661915,8179.756406056,8066.844846716,8097.187492427,18743906405.93744,146512546563.53555
2019-11-19,2019-11-20,8204.164186924,8216.662931452,8043.4537518,8134.769580205,21641717591.41986,146930469081.0854
2019-11-18,2019-11-19,8504.159201877,8504.159201877,8177.459128804,8211.78969301,18122849023.914646,151684343586.89487
2019-11-17,2019-11-18,8498.554736481,8591.874088791,8420.02373779,8503.04943466,16068981643.99694,153814774012.02075
2019-11-16,2019-11-17,8477.049472027,8524.79806089,8457.82581856,8497.411044782,18266153675.23622,153143668049.17996
2019-11-15,2019-11-16,8659.294177669,8726.808562554,8450.8778637,8474.539001785,19571089078.109665,154556646136.22693
2019-11-14,2019-11-15,8783.686952919,8794.527283025,8620.686437847,8662.422431497,18018026600.858738,156750711852.257
2019-11-13,2019-11-14,8807.509311535,8807.509311535,8727.530743868,8785.801622778,18311776804.667366,158126160785.7605
2019-11-12,2019-11-13,8737.614064316,8823.837603201,8630.703842526,8801.603779134,18549053910.671352,157865178471.2791
2019-11-11,2019-11-12,9037.812386506,9064.516857206,8657.677708995,8732.15412281,21474225431.478584,159019024064.95636
2019-11-10,2019-11-11,8814.218854096,9084.836687216,8769.040650714,9043.004448601,18865154158.8606,160406101474.5186
2019-11-09,2019-11-10,8790.379450972,8878.660848909,8761.105475182,8818.43226403,20903331341.949203,159149038181.05814
2019-11-08,2019-11-09,9217.490864466,9252.359776086,8741.358471588,8791.640946347,22392277631.808456,162396022673.1424
2019-11-07,2019-11-08,9320.858526564,9351.507682386,9154.517522463,9219.011987478,21386732950.847885,166691634545.23917
2019-11-06,2019-11-07,9305.755650856,9407.765235285,9264.370002347,9329.520807093,22773683290.748035,168097301254.52966
2019-11-05,2019-11-06,9383.924655172,9427.610414592,9199.030246575,9311.283796968,25633993748.18012,168167192831.90137
2019-11-04,2019-11-05,9201.271372755,9465.447836605,9140.776085187,9389.905541185,20013705970.259697,166672654763.97882
2019-11-03,2019-11-04,9289.89288834,9353.715862998,9106.312350671,9205.743201034,19491017665.942013,166092359614.1487
2019-11-02,2019-11-03,9229.521817605,9337.917916968,9206.694125143,9290.257018683,21641092219.163372,166975037686.2052
2019-11-01,2019-11-02,9147.035370281,9259.644920454,9061.564215052,9225.753942278,23423542842.945267,164829235357.7346
2019-10-31,2019-11-01,9155.155923773,9326.32380365,8977.505324555,9154.923648472,24122194386.384724,165061996890.87808
2019-10-30,2019-10-31,9408.955443262,9408.955443262,9041.091175322,9162.391745136,27636488312.4012,165649839748.27545
2019-10-29,2019-10-30,9232.769631326,9503.154820774,9195.925003738,9411.88531791,28823080713.17984,168918993992.4572
2019-10-28,2019-10-29,9535.718920751,9820.904166092,9234.267438557,9234.267438557,35593127802.80169,170468526441.83447
2019-10-27,2019-10-28,9235.005228243,9722.660857996,9096.936235174,9544.094411496,33550698245.02006,169004009822.77835
2019-10-26,2019-10-27,8652.60800883,10112.45209391,8651.282623885,9235.929531419,46466597084.9797,167434679606.5496
2019-10-25,2019-10-26,7432.693138298,8678.882279927,7421.365392265,8651.134449573,18738952733.51674,141682839386.37558
2019-10-24,2019-10-25,7480.706885659,7500.371453126,7377.740725355,7440.037915254,18981331415.99855,134167064520.0723
2019-10-23,2019-10-24,8036.487926759,8052.264330486,7398.577412276,7469.521062846,17812755885.624397,139696207963.8602
2019-10-22,2019-10-23,8215.031226909,8278.600259005,8027.920376243,8040.006228697,15044562472.96592,147576460561.59933
2019-10-21,2019-10-22,8211.341400254,8269.437580008,8162.813049258,8212.771665108,15370372085.088844,147891674540.88635
2019-10-20,2019-10-21,7954.616126618,8254.275408258,7900.438614016,8202.005472651,13689730159.754784,144207387123.84973
2019-10-19,2019-10-20,7952.310000157,8026.427781552,7916.211744623,7950.124307851,13469121763.54235,143246733531.5145
2019-10-18,2019-10-19,8073.200474823,8108.729807857,7880.418127858,7955.464770683,14689333202.206009,143395673984.11487
2019-10-17,2019-10-18,8003.417785957,8112.721653602,7948.820153465,8075.178241452,14962001430.666658,144617101625.62677
2019-10-16,2019-10-17,8174.179979422,8182.888776279,7951.452173756,8008.809279101,14890138553.348158,145295635926.09564
2019-10-15,2019-10-16,8348.315575696,8386.856510757,8144.31772147,8174.781558437,14132500731.96211,148809311397.95
2019-10-14,2019-10-15,8289.073814688,8363.631139914,8237.658240833,8347.201506449,13897961307.390532,149458242718.38
2019-10-13,2019-10-14,8310.145411179,8435.447811075,8246.244358698,8294.599727264,12414944133.785307,150182067879.80774
2019-10-12,2019-10-13,8274.654084824,8386.981475311,8274.654084824,8314.921537248,15846192934.8514,149863643179.82312
2019-10-11,2019-10-12,8559.836001759,8712.408923257,8272.024050522,8272.024050522,18640375940.36436,151000783029.10498
2019-10-10,2019-10-11,8566.656500404,8626.435857946,8451.919832781,8556.950238475,19365691564.436172,153568741720.8324
2019-10-09,2019-10-10,8182.596584042,8627.959232194,8128.889729005,8572.837276209,16434316986.590736,149756097129.0946
2019-10-08,2019-10-09,8193.897663235,8311.881016769,8134.994324144,8189.796865126,17158691137.634642,147511839557.13562
2019-10-07,2019-10-08,7884.202457388,8276.593674239,7819.2522184,8196.151959898,15412261525.85769,144496045823.47012
2019-10-06,2019-10-07,8132.042462349,8146.147351539,7850.254887733,7876.455217631,12147006810.972599,143559149325.0326
2019-10-05,2019-10-06,8151.39049692,8163.928569083,8044.380024243,8130.134393189,12177117326.532265,145672913454.52325
2019-10-04,2019-10-05,8229.143722637,8229.143722637,8075.794879395,8155.655358897,13744039776.37676,146442180613.26645
2019-10-03,2019-10-04,8355.824454953,8379.401244318,8105.82445839,8232.129997665,13113453370.500526,148050691437.58517
2019-10-02,2019-10-03,8299.647676192,8361.919233145,8179.062792213,8361.919233145,14388816764.907316,148269155705.5949
2019-10-01,2019-10-02,8286.791705696,8477.499526244,8200.939201929,8294.743596648,16884676152.496897,149952721693.9626
2019-09-30,2019-10-01,8062.303348361,8282.996850629,7773.497353879,8269.028681584,15981733906.85519,144998556632.11414
2019-09-29,2019-09-30,8209.160822339,8222.006280482,7955.684335853,8068.668738286,14168854496.290041,145053939725.72894
2019-09-28,2019-09-29,8184.574472563,8227.632773209,8048.833810124,8208.59598768,15915683880.648952,146537479460.4067
2019-09-27,2019-09-28,8075.401100047,8239.784966013,7909.344811111,8183.569872359,19787032948.36193,144616429658.7071
2019-09-26,2019-09-27,8438.845674476,8457.814132705,7871.665873986,8077.936354442,19967083143.6207,148466846532.1658
