Date,Open,High,Low,Close,Volume,Currency
7/1/2010,1243,1244.8,1196,1206.7,257842,USD
7/2/2010,1199,1214,1198.8,1207.7,119623,USD
7/5/2010,1212.2,1215.1,1189.5,1195.1,148108,USD
7/7/2010,1194,1204.4,1185,1198.9,126917,USD
7/8/2010,1202.9,1208.2,1187.3,1196.1,123075,USD
7/9/2010,1198.5,1214.1,1194.6,1209.8,110471,USD
7/12/2010,1212.3,1213.5,1196.1,1198.7,96041,USD
7/13/2010,1197.7,1218.8,1196.5,1213.5,110463,USD
7/14/2010,1212,1218.2,1202.5,1207,107456,USD
7/15/2010,1208.1,1217.3,1203.7,1208.3,102197,USD
7/16/2010,1209,1210.9,1185.8,1188.2,145699,USD
7/19/2010,1193.7,1194.7,1176.9,1181.9,119208,USD
7/20/2010,1183.2,1193.7,1175.1,1191.7,144273,USD
7/21/2010,1191.8,1198,1183,1191.8,146975,USD
7/22/2010,1184.1,1201.2,1180.7,1195.6,134689,USD
7/23/2010,1195.1,1203.9,1183.4,1187.8,137637,USD
7/26/2010,1188,1194.8,1178.6,1183.1,193657,USD
7/27/2010,1182.7,1186.5,1156.9,1158,235880,USD
7/28/2010,1161.1,1165,1155.6,1160.4,206828,USD
7/29/2010,1165.8,1172,1161.6,1171.2,113129,USD
7/30/2010,1170.8,1185.8,1168,1183.9,119041,USD
8/2/2010,1183.8,1193.9,1176.7,1185.4,89850,USD
8/3/2010,1184.8,1193,1181.6,1187.5,67044,USD
8/4/2010,1188.1,1205.5,1187,1195.9,119101,USD
8/5/2010,1197,1202.8,1192,1199.3,76534,USD
8/6/2010,1197.4,1213.3,1194.5,1205.3,105721,USD
8/9/2010,1206.3,1212.1,1201.1,1202.6,69569,USD
8/10/2010,1203.3,1209.9,1192.5,1198,101154,USD
8/11/2010,1206.9,1210.2,1194.2,1199.2,117462,USD
8/12/2010,1200.6,1218.5,1199.5,1216.7,124749,USD
8/13/2010,1216.1,1219.8,1212.3,1216.6,73006,USD
8/16/2010,1216.5,1229.5,1216.2,1226.2,79250,USD
8/17/2010,1227,1231.1,1224.3,1228.3,59875,USD
8/18/2010,1226.8,1234.4,1218.9,1231.4,100667,USD
8/19/2010,1231,1239.5,1229.5,1235.4,86559,USD
8/20/2010,1234.2,1235.6,1223.6,1228.8,74826,USD
8/23/2010,1229.2,1234,1223.5,1228.5,56766,USD
8/24/2010,1227.3,1237.5,1211.7,1233.4,136558,USD
8/25/2010,1232.1,1243.4,1230.9,1241.3,107824,USD
8/26/2010,1242.4,1246,1235.1,1237.7,78447,USD
8/27/2010,1239.1,1244.2,1233.5,1237.9,86006,USD
8/30/2010,1238.9,1240.4,1235,1239.2,38820,USD
8/31/2010,1238.7,1251.8,1233.5,1250.3,109430,USD
9/1/2010,1250.3,1256.6,1244.1,1248.1,109812,USD
9/2/2010,1245.6,1255.2,1245.3,1253.4,73901,USD
9/3/2010,1253.2,1255.6,1239.2,1251.1,107016,USD
9/6/2010,1250.3,1261.6,1246.4,1259.3,109658,USD
9/8/2010,1257.3,1264.7,1254.6,1257.5,107213,USD
9/9/2010,1256.7,1260.5,1243.5,1250.9,119779,USD
9/10/2010,1245.8,1253,1237.9,1246.5,103131,USD
9/13/2010,1247.3,1251,1242.3,1247.1,77440,USD
9/14/2010,1246.6,1276.5,1246,1271.7,170215,USD
9/15/2010,1270.2,1273.5,1264.5,1268.7,102682,USD
9/16/2010,1269.1,1279.5,1266.1,1273.8,99894,USD
9/17/2010,1276.8,1284.4,1273,1277.5,99447,USD
9/20/2010,1277.7,1285.2,1275.6,1280.8,81224,USD
9/21/2010,1280.4,1292.4,1272,1274.3,147878,USD
9/22/2010,1288.7,1298,1287.5,1292.1,124135,USD
9/23/2010,1292.7,1297.5,1288.2,1296.3,106549,USD
9/24/2010,1293.8,1301.6,1290.6,1298.1,110500,USD
9/27/2010,1299.2,1301.3,1295.2,1298.6,76830,USD
9/28/2010,1296.8,1311.8,1276.2,1308.3,205176,USD
9/29/2010,1310.8,1314.8,1306.1,1310.3,118743,USD
9/30/2010,1310.8,1317.5,1297,1309.6,166307,USD
10/1/2010,1309.6,1322,1307.3,1317.8,114682,USD
10/4/2010,1319.7,1321.3,1313.4,1316.8,76022,USD
10/5/2010,1316.1,1342.9,1313.3,1340.3,148408,USD
10/6/2010,1341.3,1351,1340,1347.7,136375,USD
10/7/2010,1350.5,1366,1326.5,1335,267432,USD
10/8/2010,1334.2,1350.8,1325.6,1345.3,190657,USD
10/11/2010,1348.9,1356.3,1341.1,1354.4,107011,USD
10/12/2010,1354.9,1356.3,1341.4,1346.7,135278,USD
10/13/2010,1351.5,1375.7,1350,1370.5,182477,USD
10/14/2010,1372.6,1388.1,1371.1,1377.6,184976,USD
10/15/2010,1381.7,1386.4,1362.7,1372,196829,USD
10/18/2010,1371,1375.6,1353.2,1372.1,134145,USD
10/19/2010,1370.6,1371.7,1328.4,1336,252504,USD
10/20/2010,1334.4,1348.1,1331.1,1344.2,162768,USD
10/21/2010,1345.2,1349.6,1318.2,1325.6,209166,USD
10/22/2010,1325.8,1328.8,1315.6,1325.1,147225,USD
10/25/2010,1329.3,1349.5,1329.3,1338.9,149218,USD
10/26/2010,1340.3,1343.8,1328.1,1338.6,156544,USD
10/27/2010,1340.4,1343.7,1318.6,1322.6,160010,USD
10/28/2010,1325.3,1346.2,1322.9,1342.5,148655,USD
